Coincidence Evaluation
09.02.99
09:45:49
scanblue1
  35.00	   0.00	  45896	  49667	  52149	  54429	 202141	  35398	  34550	  35288	  34113	 139349    285	     28	    565	    816	    665	    330	     53	    501	    608	    891	    340	     36	     50	    449	    763	    353	   6733	 -0.305	  0.022	  0.865	  0.013	 -0.928	  0.009	 -0.164	  0.024	  2.261	  0.037	  7.134
  35.00	   0.00	  46076	  49576	  52449	  54217	 202318	  35385	  34464	  35124	  33984	 138957    257	     32	    606	    775	    733	    317	     64	    479	    603	    873	    350	     40	     47	    453	    739	    249	   6617	 -0.331	  0.022	  0.860	  0.013	 -0.916	  0.010	 -0.244	  0.025	  2.352	  0.037	  9.486
  40.00	   0.00	  45891	  49319	  52724	  53798	 201732	  35021	  34716	  35016	  34060	 138813    273	     19	    542	    770	    735	    365	     44	    461	    528	    874	    385	     18	     34	    428	    785	    315	   6576	 -0.238	  0.023	  0.902	  0.011	 -0.956	  0.007	 -0.133	  0.025	  2.230	  0.037	  6.284
  45.00	   0.00	  46187	  49312	  52351	  54163	 202013	  35211	  34595	  35104	  33919	 138829    374	     16	    465	    777	    736	    465	     34	    362	    464	    843	    501	     12	     38	    372	    737	    389	   6585	 -0.030	  0.024	  0.907	  0.011	 -0.966	  0.006	  0.076	  0.025	  1.978	  0.037	 -0.593
  50.00	   0.00	  46201	  48755	  52649	  54852	 202457	  35364	  34858	  35023	  34147	 139392    403	     27	    398	    767	    707	    500	     49	    323	    383	    830	    591	     28	     33	    296	    771	    446	   6552	  0.120	  0.024	  0.895	  0.011	 -0.933	  0.009	  0.209	  0.025	  2.157	  0.037	  4.245
  55.00	   0.00	  46188	  49338	  52380	  54960	 202866	  35408	  34288	  34955	  34108	 138759    478	     36	    310	    757	    723	    546	     78	    286	    335	    843	    631	     31	     54	    256	    759	    458	   6581	  0.265	  0.023	  0.836	  0.014	 -0.920	  0.010	  0.299	  0.024	  2.319	  0.037	  8.543
  60.00	   0.00	  46234	  48738	  52407	  54981	 202360	  35524	  34160	  34889	  33626	 138199    528	     68	    229	    724	    760	    638	    115	    192	    241	    848	    719	     73	     56	    204	    721	    519	   6635	  0.453	  0.022	  0.793	  0.015	 -0.835	  0.013	  0.490	  0.022	  2.571	  0.037	 15.518
  65.00	   0.00	  46635	  48642	  52292	  54995	 202564	  35154	  34315	  35005	  34117	 138591    574	     90	    175	    677	    624	    648	    146	    160	    205	    793	    781	    112	     93	    169	    675	    603	   6525	  0.562	  0.020	  0.689	  0.018	 -0.758	  0.016	  0.584	  0.020	  2.593	  0.038	 15.810
  70.00	   0.00	  47051	  48600	  52150	  55534	 203335	  35423	  34305	  34875	  34128	 138731    582	    139	    125	    662	    619	    703	    198	    110	    158	    734	    819	    133	    115	    135	    642	    595	   6469	  0.664	  0.018	  0.602	  0.020	 -0.674	  0.018	  0.682	  0.019	  2.622	  0.038	 16.574
  75.00	   0.00	  46414	  48518	  52290	  55592	 202814	  35334	  34826	  34957	  34014	 139131    644	    177	     84	    598	    550	    737	    244	     90	     95	    697	    852	    231	    167	     83	    638	    645	   6532	  0.786	  0.015	  0.486	  0.022	 -0.521	  0.021	  0.777	  0.016	  2.571	  0.037	 15.315
  80.00	   0.00	  46963	  48712	  51845	  55200	 202720	  35102	  34328	  34949	  34315	 138694    658	    236	     66	    521	    534	    721	    292	     44	     44	    632	    883	    266	    187	     77	    586	    647	   6394	  0.867	  0.012	  0.401	  0.023	 -0.393	  0.023	  0.837	  0.014	  2.498	  0.037	 13.385
  85.00	   0.00	  47354	  48563	  51635	  54949	 202501	  35201	  34697	  34760	  33573	 138231    709	    311	     23	    471	    483	    758	    341	     35	     36	    579	    917	    343	    255	     54	    533	    644	   6492	  0.930	  0.009	  0.261	  0.024	 -0.232	  0.024	  0.881	  0.012	  2.304	  0.037	  8.218
  90.00	   0.00	  47255	  48829	  51309	  55219	 202612	  35031	  34171	  34540	  33936	 137678    707	    356	     22	    421	    395	    777	    425	     29	     19	    453	    940	    368	    286	     42	    437	    632	   6309	  0.951	  0.007	  0.078	  0.025	 -0.094	  0.025	  0.904	  0.011	  2.028	  0.038	  0.731
  95.00	   0.00	  46884	  48327	  51574	  55259	 202044	  35193	  34355	  34924	  33951	 138423    682	    428	     17	    360	    320	    726	    480	     42	     16	    404	    931	    495	    342	     33	    403	    676	   6355	  0.960	  0.007	 -0.064	  0.025	  0.094	  0.024	  0.898	  0.011	  2.017	  0.038	  0.444
